wellname	depth	rop	wob	rpm	torque	spp	flwpmps
TestWell #1	950	0.12	6.90	74	9352	1509	564
TestWell #1	955	0.10	6.50	74	9361	1528	574
TestWell #1	960	0.08	6.00	75	9365	1516	570
TestWell #1	965	0.15	6.80	78	9378	1519	573
TestWell #1	970	0.10	7.00	75	9611	1531	860
TestWell #1	975	0.18	7.00	87	9729	1570	575
TestWell #1	980	0.13	6.30	101	9747	1613	586
TestWell #1	985	0.12	6.50	98	9759	1607	590
TestWell #1	990	0.13	6.00	96	9774	1628	589
TestWell #1	995	0.09	7.10	91	9785	1619	589
TestWell #1	1000	0.11	7.20	83	9793	1629	587
TestWell #1	1005	0.34	6.00	80	9840	1610	586
TestWell #1	1010	0.11	6.90	105	9977	1566	575
TestWell #1	1015	0.50	6.10	79	10087	1555	575
TestWell #1	1020	0.14	6.80	72	10019	1560	576
TestWell #1	1025	0.13	7.00	74	10080	1564	575
TestWell #1	1030	0.23	7.30	77	10181	1560	577
TestWell #1	1035	0.20	7.50	73	10245	1559	574
TestWell #1	1040	0.14	6.00	108	10379	1528	575
TestWell #1	1045	0.14	6.20	104	10395	1544	575
TestWell #1	1050	0.14	6.60	95	10370	1538	575
TestWell #1	1055	0.18	6.40	89	10375	1522	576
TestWell #1	1060	0.17	6.40	82	10473	1542	575
TestWell #1	1065	0.20	7.60	80	10557	1537	575
TestWell #1	1070	0.26	7.60	86	10610	1529	574
TestWell #1	1075	0.17	6.00	89	10633	1551	574
TestWell #1	1080	0.25	6.20	87	10687	1541	576
TestWell #1	1085	0.21	6.20	84	10699	1561	576
TestWell #1	1090	0.13	6.10	88	10710	1541	576
TestWell #1	1095	0.12	5.90	88	10734	1561	575
TestWell #1	1100	0.10	6.50	80	10470	1574	571
TestWell #1	1105	0.13	5.90	83	10156	1536	560
TestWell #1	1110	0.30	4.40	85	10205	1595	572
TestWell #1	1115	0.20	3.70	80	10330	1606	581
TestWell #1	1120	0.13	4.30	85	10341	1607	580
TestWell #1	1125	0.18	4.40	86	10361	1597	581
TestWell #1	1130	0.20	4.10	80	10505	1594	576
TestWell #1	1135	0.12	5.10	84	10648	1545	568
TestWell #1	1140	0.12	5.60	83	10636	1546	566
TestWell #1	1145	0.13	5.80	87	10640	1547	567
TestWell #1	1150	0.12	5.70	87	10616	1540	575
TestWell #1	1155	0.17	5.90	82	10634	1528	571
TestWell #1	1160	0.20	5.90	80	10633	1546	547
TestWell #1	1165	0.41	3.30	82	10854	1623	522
TestWell #1	1170	0.16	4.30	80	10846	1628	479
TestWell #1	1175	0.13	4.60	80	10908	1638	501
TestWell #1	1180	0.24	5.50	80	10945	1634	495
TestWell #1	1185	0.21	5.40	80	10982	1643	480
TestWell #1	1190	0.14	5.20	82	11019	1650	476
TestWell #1	1195	0.20	5.00	78	11180	1661	463
TestWell #1	1200	0.12	4.70	85	11476	1677	428
TestWell #1	1205	0.13	5.70	87	11479	1675	368
TestWell #1	1210	0.17	5.30	89	11478	1678	303
TestWell #1	1215	0.16	5.50	83	11483	1670	407
TestWell #1	1220	0.16	5.20	86	11504	1684	310
TestWell #1	1225	0.20	5.20	88	11640	1672	476
TestWell #1	1230	0.11	4.60	109	11759	1626	295
TestWell #1	1235	0.13	5.70	105	11776	1648	297
TestWell #1	1240	0.11	3.80	100	11782	1649	340
TestWell #1	1245	0.14	5.20	76	11784	1646	553
TestWell #1	1250	0.11	4.90	71	11779	1649	570
TestWell #1	1255	0.33	3.50	73	11768	1642	575
TestWell #1	1260	0.09	5.80	100	11675	1653	578
TestWell #1	1265	0.09	4.70	94	11679	1651	575
TestWell #1	1270	0.09	6.40	94	11676	1654	577
TestWell #1	1275	0.21	5.00	95	11710	1654	569
TestWell #1	1280	0.11	4.10	95	11760	1645	578
TestWell #1	1285	0.20	4.60	97	11617	1635	529
TestWell #1	1290	0.12	4.60	111	10662	1554	279
TestWell #1	1295	0.12	4.30	117	10622	1568	278
TestWell #1	1300	0.10	4.00	115	10621	1558	279
TestWell #1	1305	0.16	4.70	110	10587	1561	281
TestWell #1	1310	0.10	4.90	110	10593	1560	284
TestWell #1	1315	0.10	4.30	110	10410	1557	279
TestWell #1	1320	0.12	4.00	109	10115	1523	276
TestWell #1	1325	0.12	4.80	115	10083	1520	276
TestWell #1	1330	0.12	4.10	116	10057	1525	276
TestWell #1	1335	0.14	5.00	114	10049	1526	276
TestWell #1	1340	0.15	4.70	110	10048	1510	276
TestWell #1	1345	0.15	4.00	111	10044	1525	276
TestWell #1	1350	0.43	5.10	81	10073	1578	374
TestWell #1	1355	0.22	7.60	93	10104	1594	556
TestWell #1	1360	0.08	7.30	81	10108	1591	558
TestWell #1	1365	0.10	7.90	75	10110	1596	558
TestWell #1	1370	0.10	7.30	72	10124	1593	557
TestWell #1	1375	0.16	7.80	71	10123	1591	557
TestWell #1	1380	0.61	7.30	71	10042	1643	568
TestWell #1	1385	0.10	7.20	100	9585	1709	616
TestWell #1	1390	0.10	7.20	88	9553	1707	590
TestWell #1	1395	0.17	7.90	91	9528	1712	579
TestWell #1	1400	0.10	7.40	90	9519	1710	578
TestWell #1	1405	0.15	7.90	90	9559	1690	576
TestWell #1	1410	0.20	7.10	90	9316	1725	577
TestWell #1	1415	0.21	7.70	90	9058	1717	576
TestWell #1	1420	0.10	7.90	90	8990	1689	575
TestWell #1	1425	0.11	7.70	90	8972	1705	575
TestWell #1	1430	0.10	8.90	90	8974	1720	575
TestWell #1	1435	0.11	8.20	90	8979	1716	575
TestWell #1	1440	0.20	8.70	96	8960	1728	577
TestWell #1	1445	0.14	8.80	98	8678	1747	576
TestWell #1	1450	0.16	8.20	117	8680	1749	574
TestWell #1	1455	0.14	8.40	114	8724	1737	576
TestWell #1	1460	0.13	8.30	97	8714	1747	576
TestWell #1	1465	0.13	8.90	84	8712	1751	576
TestWell #1	1470	0.10	8.70	82	8738	1742	576
TestWell #1	1475	0.20	8.70	96	8604	1786	573
TestWell #1	1480	0.15	8.00	111	8463	1826	587
TestWell #1	1485	0.09	8.40	111	8445	1830	587
TestWell #1	1490	0.08	8.20	106	8441	1824	587
TestWell #1	1495	0.11	8.60	89	8443	1833	587
TestWell #1	1500	0.18	8.30	81	8434	1835	588
TestWell #1	1505	0.20	8.70	89	8393	1801	582
TestWell #1	1510	0.12	9.50	88	8344	1717	566
TestWell #1	1515	0.13	9.30	83	8317	1717	566
TestWell #1	1520	0.10	9.60	80	8308	1709	565
TestWell #1	1525	0.10	9.30	89	8294	1686	566
TestWell #1	1530	0.17	9.70	142	8280	1713	567
TestWell #1	1535	0.20	9.20	142	8263	1727	569
TestWell #1	1540	0.13	9.90	145	8246	1797	580
TestWell #1	1545	0.14	9.00	142	8214	1794	580
TestWell #1	1550	0.14	9.90	140	8200	1803	580
TestWell #1	1555	0.13	9.00	140	8177	1780	580
TestWell #1	1560	0.14	9.00	135	8187	1794	580
TestWell #1	1565	0.20	9.90	135	8178	1795	575
TestWell #1	1570	0.15	9.00	127	8109	1757	569
TestWell #1	1575	0.08	9.30	119	8093	1766	569
TestWell #1	1580	0.08	9.20	119	8082	1772	568
TestWell #1	1585	0.05	9.40	120	8074	1773	570
TestWell #1	1590	0.09	9.60	119	8067	1823	569
TestWell #1	1595	0.10	9.80	119	8059	1798	569
TestWell #1	1600	0.10	9.10	124	8047	1795	570
TestWell #1	1605	0.08	9.40	123	7996	1860	584
TestWell #1	1610	0.08	9.90	123	7960	1861	586
